venue_id,likely_home_team,fair_bip,tracked_bip,coverage_pct
761987820,OKLA,1003,1000,99.7
720968824,WKU,1756,1751,99.7
784601365,GMU,1126,1123,99.7
768250942,COR,633,631,99.7
786210291,MD,1088,1085,99.7
743099222,BRWN,915,912,99.7
725653329,SF,1447,1443,99.7
759034412,MISS,1372,1368,99.7
738475476,NEB,699,697,99.7
721779350,CBU,1266,1262,99.7
789333393,APP,313,312,99.7
752666893,WCU,1338,1334,99.7
758219673,IND,292,291,99.7
702033340,TXAM,1515,1512,99.8
755806478,TXST,1553,1550,99.8
705740118,JVST,1354,1351,99.8
733204652,CMU,1089,1087,99.8
799243359,CSN,1528,1525,99.8
710795247,SEA,968,966,99.8
793418499,JOES,1071,1069,99.8
762288751,UK,1260,1257,99.8
780102874,FLA,1652,1649,99.8
759614376,USC,1442,1439,99.8
781595510,DAV,1234,1232,99.8
723756288,CLEM,1393,1390,99.8
706264358,NIAG,950,948,99.8
721122039,PENN,834,832,99.8
762970474,NEB,425,424,99.8
783907892,VAN,1482,1479,99.8
777227008,CREI,1113,1111,99.8
703568304,UIC,1126,1124,99.8
767789209,VALP,646,645,99.8
700105966,XAV,887,885,99.8
783181845,CHSO,1493,1491,99.9
719762745,MSST,1472,1470,99.9
750631884,TEX,1440,1438,99.9
794815993,DBU,1474,1472,99.9
752421355,EVAN,1266,1265,99.9
787540072,WOF,1503,1501,99.9
705106420,DEL,1349,1347,99.9
728865867,ALA,1223,1222,99.9
787399272,ORE,1235,1234,99.9
792735747,BUCK,1156,1155,99.9
729448598,SAM,1494,1494,100.0
707610260,BRAD,306,306,100.0
732921920,TENN,1700,1700,100.0
770708992,DAY,1385,1385,100.0
727414661,SMC,172,172,100.0
725390158,AKR,1038,1038,100.0
744564612,YSU,382,382,100.0
790299722,OKST,80,80,100.0
796271128,LIB,97,97,100.0
781573290,SIUE,191,191,100.0
788394181,MCYH,190,190,100.0
787040270,HOU,196,196,100.0
751718264,TENN,152,152,100.0
718135999,HARV,442,442,100.0
735325027,NKU,50,50,100.0
730587031,SIUE,44,44,100.0
700269523,NIU,96,96,100.0
749148907,GC,118,118,100.0
717101325,UK,32,32,100.0
765460089,NE,87,87,100.0
768956785,TROY,159,159,100.0
779135562,URI,48,48,100.0
769172539,IOWA,48,48,100.0
781477927,HARV,54,54,100.0
780319258,PORT,63,63,100.0
757778121,KSU,43,43,100.0
