# Document parsed from: Copy_of_Rate_7_2.numbers

## Page 1

|playerFullName|player|playerFirstName|pos|newestTeamName|newestTeamLocation|batsHand|throwsHand|Age|AB|BA|OBP|SLG|OPS|ISO|
|Pierre Seals|Seals|Pierre|RF|University of Missouri|Missouri|R|R|22|148|0.291|0.374|0.446|0.82|0.155|
|Brady Reynolds|Reynolds|Brady|RF|Stanford University|Stanford|L|R|21|157|0.306|0.402|0.541|0.944|0.236|
|Cason Tollett|Tollett|Cason|1B|Arkansas State University|Arkansas State|R|R|25|165|0.242|0.291|0.291|0.581|0.048|
|Cason Campbell|Campbell|Cason|2B|Arkansas State University|Arkansas State|L|R|0|143|0.28|0.41|0.385|0.795|0.105|
|Billy Kender|Kender|Billy|2B|Bucknell University|Bucknell|R|R|24|175|0.257|0.342|0.377|0.719|0.12|
|Tyler Peters|Peters|Tyler|LF|Queens University of Charlotte|Queens University of Charlotte|R|R|0|127|0.236|0.333|0.268|0.601|0.031|
|Trent Rumley|Rumley|Trent|3B|Canisius College|Canisius|R|R|0|171|0.345|0.43|0.608|1.038|0.263|
|JC Spinosa|Spinosa|JC|SS|Canisius College|Canisius|R|R|0|159|0.258|0.416|0.428|0.844|0.17|
|Wyatt Patchett|Patchett|Wyatt|RF|Le Moyne College|Le Moyne|R|R|0|165|0.236|0.304|0.43|0.734|0.194|
|Kyle Eddington|Eddington|Kyle|SS|UMBC|UMBC|R|R|0|126|0.222|0.34|0.27|0.61|0.048|
|Parker Goff|Goff|Parker|C|Brigham Young University|BYU|R|R|22|141|0.284|0.439|0.404|0.843|0.121|
|Billy Fluharty|Fluharty|Billy|CF|Bucknell University|Bucknell|R|R|0|159|0.258|0.364|0.333|0.697|0.075|
|Roberto Gonzalez|Gonzalez|Roberto|CF|Cal State-Northridge|CSU Northridge|L|R|24|167|0.371|0.478|0.611|1.089|0.24|
|Gabe Camacho|Camacho|Gabe|1B|UC San Diego|UC San Diego|L|L|20|163|0.307|0.458|0.546|1.004|0.239|
|Austin Russell|Russell|Austin|1B|Texas A\&M-Corpus Christi|Texas A\&M-Corpus Christi|R|R|23|156|0.308|0.395|0.365|0.76|0.058|
|Ryan Facinelli|Facinelli|Ryan|1B|Bucknell University|Bucknell|R|R|22|154|0.247|0.394|0.377|0.77|0.13|
|Chase Krewson|Krewson|Chase|LF|University of Central Florida|Central Florida|L|L|21|140|0.271|0.389|0.321|0.711|0.05|
|Kaiden Dossa|Dossa|Kaiden|CF|Yale University|Yale|R|R|20|173|0.329|0.424|0.497|0.921|0.168|
|Jeff Pierantoni|Pierantoni|Jeff|SS|Yale University|Yale|L|R|23|143|0.21|0.321|0.231|0.552|0.021|
|Jess Bellows|Bellows|Jess|CF|South Dakota State University|South Dakota State|R|R|0|155|0.245|0.331|0.31|0.641|0.065|
|Noah Brooks|Brooks|Noah|1B|Siena College|Siena|R|R|21|161|0.236|0.332|0.379|0.71|0.143|
|Hugh Pinkney|Pinkney|Hugh|C|Tulane University|Tulane|L|R|21|130|0.269|0.391|0.377|0.768|0.108|
|Brendan Kleiman|Kleiman|Brendan|C|Eastern Michigan University|Eastern Michigan|R|R|22|166|0.289|0.385|0.367|0.752|0.078|
|Sawyer Reeves|Reeves|Sawyer|2B|Mississippi State University|Mississippi State|R|R|23|144|0.292|0.366|0.417|0.783|0.125|
|Reggie Bussey|Bussey|Reggie|CF|The Ohio State University|Ohio State|L|L|21|137|0.263|0.398|0.358|0.755|0.095|
|Cian Sahler|Sahler|Cian|CF|Fordham University|Fordham|L|L|22|168|0.268|0.332|0.381|0.713|0.113|
|Conlon Walker|Walker|Conlon|LF|George Washington University|George Washington|L|L|20|133|0.278|0.406|0.391|0.797|0.113|
|Owen Walewander|Walewander|Owen|C|Lehigh University|Lehigh|R|R|22|140|0.3|0.407|0.429|0.836|0.129|
|Connor Hale|Hale|Connor|CF|Villanova University|Villanova|L|L|0|112|0.188|0.381|0.259|0.64|0.071|
|Jeremy Rader|Rader|Jeremy|2B|Houston Christian University|Houston Christian|R|R|0|123|0.244|0.389|0.341|0.73|0.098|
|Trenton Neuer|Neuer|Trenton|LF|Ohio University|Ohio|R|R|25|143|0.287|0.414|0.357|0.77|0.07|
|Bryant Loving|Loving|Bryant|3B|University of North Alabama|North Alabama|R|R|20|136|0.235|0.318|0.331|0.649|0.096|
|Ty Stecko|Stecko|Ty|3B|Eastern Michigan University|Eastern Michigan|R|R|21|154|0.318|0.418|0.584|1.003|0.266|
|Colby Turner|Turner|Colby|LF|University of Michigan|Michigan|R|R|21|143|0.238|0.347|0.427|0.774|0.189|
|Christian Smith-Johnson|Smith-Johnson|Christian|RF|Texas A\&M-Corpus Christi|Texas A\&M-Corpus Christi|R|R|21|118|0.254|0.338|0.305|0.643|0.051|
|Patrick Keighran|Keighran|Patrick|3B|University of San Francisco|San Francisco|R|R|23|155|0.348|0.472|0.671|1.142|0.323|
|Nico Libed|Libed|Nico|LF|University of San Diego|San Diego|R|R|21|123|0.244|0.382|0.301|0.682|0.057|
|Mark Henning|Henning|Mark|1B|Stephen F. Austin State University|Stephen F. Austin State|L|R|22|166|0.277|0.389|0.404|0.793|0.127|
|Ryan Davis|Davis|Ryan|3B|University of Maryland Eastern Shore|Maryland Eastern Shore|R|R|0|145|0.303|0.4|0.462|0.862|0.159|
|Mason Heiskell|Heiskell|Mason|C|Prairie View A\&M University|Prairie View A\&M|R|R|24|117|0.162|0.306|0.205|0.511|0.043|
|Gianno Merlonghi|Merlonghi|Gianno|RF|Central Connecticut State University|Central Connecticut State|R|R|22|187|0.294|0.351|0.439|0.789|0.144|
|Brooks Craigue|Craigue|Brooks|2B|Merrimack College|Merrimack|R|R|21|166|0.265|0.397|0.392|0.789|0.127|
|Chase Beattie|Beattie|Chase|C|Saint Louis University|St. Louis|R|R|22|129|0.326|0.393|0.605|0.998|0.279|
|Brant Voth|Voth|Brant|P|University of Arkansas-Pine Bluff|Arkansas-Pine Bluff|L|R|25|129|0.295|0.382|0.465|0.847|0.171|
|Jacoby Radcliffe|Radcliffe|Jacoby|CF|Southern University|Southern|L|R|22|133|0.346|0.497|0.586|1.084|0.241|
|Ripken Reese|Reese|Ripken|2B|Kent State University|Kent State|S|R|21|115|0.252|0.403|0.478|0.881|0.226|
|Cohl Mercado|Mercado|Cohl|RF|Penn State University|Penn State|L|L|22|135|0.23|0.362|0.274|0.636|0.044|
|Michael Elko|Elko|Michael|2B|University of Richmond|Richmond|L|R|21|148|0.311|0.432|0.493|0.926|0.182|
|Ty Davis|Davis|Ty|1B|Ball State University|Ball State|L|R|21|136|0.294|0.384|0.618|1.001|0.324|
|Marcus Harrison|Harrison|Marcus|3B|Northern Kentucky University|Northern Kentucky|R|R|22|117|0.222|0.429|0.325|0.753|0.103|
|Yomar Carreras|Carreras|Yomar|SS|Rutgers University|Rutgers|S|R|19|165|0.255|0.326|0.382|0.708|0.127|
|Matt Stancliff|Stancliff|Matt|2B|McNeese State University|McNeese State|L|R|22|153|0.261|0.395|0.359|0.754|0.098|
|Curtis McKay|McKay|Curtis|LF|Niagara University|Niagara|R|R|22|170|0.312|0.404|0.618|1.022|0.306|
|Jacob Brooks|Brooks|Jacob|SS|Niagara University|Niagara|R|R|22|168|0.31|0.379|0.452|0.831|0.143|
|Caleb Berry|Berry|Caleb|C|Michigan State University|Michigan State|R|R|24|165|0.297|0.376|0.467|0.842|0.17|
|Jake Pererira|Pererira|Jake|CF|UNC Asheville|UNC Asheville|R|R|0|146|0.233|0.26|0.349|0.609|0.116|
|Cody Gunderson|Gunderson|Cody|1B|UNC Charlotte|Charlotte|R|R|21|157|0.331|0.462|0.548|1.009|0.217|
|Collin McLemore|McLemore|Collin|2B|University of Arkansas-Pine Bluff|Arkansas-Pine Bluff|R|R|0|122|0.262|0.384|0.287|0.67|0.025|
|Jake Long|Long|Jake|LF|University of Utah|Utah|L|R|21|168|0.262|0.347|0.327|0.675|0.065|
|John Hale|Hale|John|CF|Eastern Michigan University|Eastern Michigan|R|R|0|167|0.293|0.413|0.419|0.832|0.126|
|Tyler Shaw|Shaw|Tyler|SS|Villanova University|Villanova|R|R|0|141|0.191|0.305|0.241|0.547|0.05|
|Ty Marthilijohni|Marthilijohni|Ty|C|Sam Houston State University|Sam Houston State|R|R|21|155|0.226|0.294|0.316|0.61|0.09|
|Jack Mislan|Mislan|Jack|LF|Lafayette College|Lafayette|R|R|0|166|0.259|0.333|0.452|0.785|0.193|
|Aidan Dougherty|Dougherty|Aidan|LF|University of Connecticut|Connecticut|R|R|22|150|0.333|0.417|0.447|0.864|0.113|
|Tyler Castrataro|Castrataro|Tyler|LF|Hofstra University|Hofstra|R|R|0|175|0.274|0.323|0.469|0.791|0.194|
|Diego Aponte|Aponte|Diego|1B|University of Maryland Eastern Shore|Maryland Eastern Shore|L|L|21|172|0.302|0.381|0.419|0.8|0.116|
|Blake Bradford|Bradford|Blake|3B|University of West Georgia|West Georgia|S|L|0|142|0.232|0.306|0.408|0.714|0.176|
|Beau Hollins|Hollins|Beau|1B|University of South Carolina|South Carolina|S|L|20|159|0.308|0.379|0.491|0.869|0.182|
|Jase Woita|Woita|Jase|LF|University of South Carolina|South Carolina|L|R|23|120|0.3|0.394|0.508|0.903|0.208|
|Evan Joubert|Joubert|Evan|LF|Texas Southern University|Texas Southern|R|R|23|136|0.294|0.409|0.507|0.916|0.213|
|Carl Schmidt|Schmidt|Carl|LF|University of California|California|R|R|21|161|0.286|0.361|0.447|0.808|0.161|
|Jack Dauer|Dauer|Jack|3B|Yale University|Yale|R|R|0|173|0.306|0.371|0.468|0.839|0.162|
|Owen Wilson|Wilson|Owen|SS|College of William & Mary|William & Mary|R|R|0|161|0.242|0.328|0.286|0.614|0.043|
|Zandt Payne|Payne|Zandt|SS|Abilene Christian University|Abilene Christian|S|R|22|149|0.376|0.49|0.55|1.04|0.174|
|Parker Airhart|Airhart|Parker|C|University of Texas-Arlington|UT Arlington|R|R|23|142|0.275|0.352|0.415|0.768|0.141|
|Alex Birge|Birge|Alex|C|University of California|California|L|R|23|134|0.231|0.415|0.582|0.997|0.351|
|Aries Gardner|Gardner|Aries|1B|Grambling State University|Grambling State|L|L|24|134|0.291|0.406|0.507|0.914|0.216|
|Ethan Petry|Petry|Ethan|RF|University of South Carolina|South Carolina|R|R|21|156|0.321|0.437|0.59|1.027|0.269|
|John LaFleur|LaFleur|John|LF|College of the Holy Cross|Holy Cross|L|R|0|161|0.292|0.405|0.484|0.89|0.193|
|Chris Morabito|Morabito|Chris|LF|Bucknell University|Bucknell|L|R|0|147|0.211|0.339|0.388|0.727|0.177|
|Silas Shaffer|Shaffer|Silas|C|Eastern Kentucky University|Eastern Kentucky|R|R|23|143|0.259|0.327|0.357|0.684|0.098|
|Julius Scearce|Scearce|Julius|LF|Eastern Kentucky University|Eastern Kentucky|L|R|23|137|0.219|0.329|0.453|0.782|0.234|
|Nick Dolan|Dolan|Nick|3B|Ohio University|Ohio|R|R|0|165|0.242|0.351|0.43|0.781|0.188|
|Jake Stadler|Stadler|Jake|C|Indiana University, Bloomington|Indiana|L|R|24|103|0.272|0.432|0.408|0.84|0.136|
|Derek Paris|Paris|Derek|C|UMBC|UMBC|R|R|21|136|0.272|0.366|0.449|0.815|0.176|
|Harrison Didawick|Didawick|Harrison|LF|University of Virginia|Virginia|L|L|22|138|0.225|0.327|0.384|0.711|0.159|
|Levi Randall|Randall|Levi|LF|Utah Tech University|Utah Tech|L|R|24|136|0.301|0.383|0.368|0.751|0.066|
|Draven Nushida|Nushida|Draven|3B|University of Hawaii, Manoa|Hawaii|L|R|21|127|0.291|0.35|0.362|0.712|0.071|
|Joe Reid|Reid|Joe|3B|Loyola Marymount University|Loyola Marymount|R|R|24|127|0.197|0.261|0.339|0.599|0.142|
|Santino Panaro|Panaro|Santino|CF|University of Utah|Utah|L|L|23|151|0.331|0.42|0.47|0.89|0.139|
|Andrew Savage|Savage|Andrew|C|Pepperdine University|Pepperdine|R|R|23|128|0.188|0.3|0.305|0.605|0.117|
|Joe Simpson|Simpson|Joe|LF|Campbell University|Campbell|R|R|0|148|0.345|0.439|0.608|1.047|0.264|
|Aidan Evans|Evans|Aiden|2B|UNC Wilmington|UNC Wilmington|R|R|22|112|0.259|0.366|0.304|0.67|0.045|
|Jackson Chirello|Chirello|Jackson|RF|Kennesaw State University|Kennesaw State|L|R|21|155|0.265|0.401|0.458|0.859|0.194|
|Garrett Larsen|Larsen|Garrett|LF|Yale University|Yale|R|R|21|174|0.299|0.404|0.397|0.8|0.098|
|Charlie Sutherland|Sutherland|Charlie|1B|University of Minnesota|Minnesota|L|R|20|138|0.283|0.365|0.486|0.851|0.203|
|Jake Perry|Perry|Jake|3B|University of Minnesota|Minnesota|L|R|23|141|0.227|0.298|0.34|0.639|0.113|
|Brody Drost|Drost|Brody|RF|Louisiana Tech University|Louisiana Tech|L|L|23|119|0.277|0.37|0.42|0.79|0.143|
|Braden Sullivan|Sullivan|Braden|2B|University of Massachusetts|UMass|R|R|21|154|0.26|0.387|0.403|0.79|0.143|
|Sean McGee|McGee|Sean|SS|Stonehill College|Stonehill|R|R|0|182|0.22|0.319|0.418|0.737|0.198|
|Jayden Williams|Williams|Jayden|CF|Prairie View A\&M University|Prairie View A\&M|R|R|23|144|0.299|0.418|0.424|0.842|0.125|
|KJ White|White|KJ|2B|Southern University|Southern|S|R|21|167|0.347|0.463|0.389|0.852|0.042|
|Tyler Cowan|Cowan|Ty|2B|University of the Incarnate Word|Incarnate Word|L|R|0|157|0.287|0.394|0.389|0.782|0.102|
|Tommy Townsend|Townsend|Tommy|LF|Butler University|Butler|L|L|20|140|0.264|0.423|0.557|0.98|0.293|
|David Bishop|Bishop|David|1B|Kansas State University|Kansas State|R|R|22|119|0.235|0.311|0.403|0.714|0.168|
|DM Jefferson|Jefferson|DM|CF|University of Notre Dame|Notre Dame|L|R|22|106|0.245|0.452|0.302|0.754|0.057|
|Luke Bard|Bard|Luke|C|Houston Christian University|Houston Christian|R|R|21|138|0.254|0.379|0.384|0.763|0.13|
|Parker Coley|Coley|Parker|RF|Southeastern Louisiana University|Southeastern Louisiana|R|R|23|145|0.276|0.385|0.421|0.806|0.145|
|Connor Price|Price|Connor|C|Georgetown University|Georgetown|R|R|23|143|0.28|0.365|0.497|0.862|0.217|
|Matthew Maulik|Maulik|Matthew|3B|University of St. Thomas (Minn.)|University of St. Thomas (Minn.)|L|R|20|165|0.315|0.399|0.485|0.884|0.17|
|David Whittle|Whittle|David|C|UC Riverside|UC Riverside|R|R|21|133|0.211|0.254|0.353|0.607|0.143|
|Jason Green|Green|Jason|C|Niagara University|Niagara|L|R|0|162|0.272|0.37|0.574|0.944|0.302|
|Mateo Matthews|Matthews|Mateo|1B|Wagner College|Wagner|L|R|23|135|0.319|0.44|0.541|0.981|0.222|
|Cade Bush|Bush|Cade|1B|University of North Florida|North Florida|R|R|23|158|0.31|0.383|0.437|0.819|0.127|
|Michael Maloney|Maloney|Mike|SS|Western Michigan University|Western Michigan|R|R|0|162|0.302|0.406|0.352|0.758|0.049|
|Matt Rose|Rose|Matt|3B|University of South Florida|South Florida|R|R|21|149|0.322|0.398|0.409|0.807|0.087|
|Jermel Ford|Ford|Jermel|TWP|Alcorn State University|Alcorn State|L|L|22|125|0.376|0.448|0.504|0.952|0.128|
|Alan Shibley|Shibley|Alan|RF|Texas State University|Texas State|L|R|25|147|0.218|0.341|0.401|0.742|0.184|
|Nathan Ball|Ball|Nathan|1B|Central Michigan University|Central Michigan|L|R|0|139|0.259|0.346|0.388|0.734|0.129|
|Jordan Overton|Overton|Jordan|P|Iona College|Iona|R|R|0|187|0.283|0.348|0.455|0.802|0.171|
|Mason Wolf|Wolf|Mason|C|New Jersey Institute of Technology|NJIT|R|R|24|150|0.4|0.475|0.593|1.069|0.193|
|Jaden Sheffield|Sheffield|Jaden|LF|Georgetown University|Georgetown|R|R|23|129|0.256|0.333|0.333|0.667|0.078|
|Aaron Biediger|Biediger|Aaron|1B|Nicholls State University|Nicholls State|R|R|0|151|0.245|0.356|0.338|0.693|0.093|
|Logan Castellano|Castellano|Logan|1B|Merrimack College|Merrimack|R|R|0|153|0.248|0.358|0.399|0.756|0.15|
|JD Woodall|Woodall|JD|LF|Davidson College|Davidson|R|R|23|112|0.241|0.401|0.313|0.714|0.071|
|Lane Tobin|Tobin|Lane|SS|The Citadel|The Citadel|R|R|0|139|0.259|0.35|0.36|0.71|0.101|
|Jakob Bullard|Bullard|Jake|1B|University of Northern Colorado|Northern Colorado|R|R|23|148|0.297|0.416|0.412|0.828|0.115|
|Santiago Ordonez|Ordonez|Santiago|C|University of North Florida|North Florida|R|R|22|126|0.254|0.377|0.349|0.727|0.095|
|Juan Rivera|Rivera|Juan|LF|UNC Charlotte|Charlotte|L|R|22|115|0.27|0.384|0.391|0.775|0.122|
|Aidan Duda|Duda|Aidan|C|Saint Joseph's University|Saint Joseph's|R|R|23|134|0.224|0.436|0.284|0.72|0.06|
|Karsen Waslefsky|Waslefsky|Karsen|SS|University of New Mexico|New Mexico|R|R|21|141|0.298|0.367|0.461|0.828|0.163|
|Nich Francuzenko|Francuzenko|Nich|1B|Towson University|Towson|L|R|19|137|0.307|0.415|0.445|0.86|0.139|
|Eli Gipson|Gipson|Eli|SS|Indiana State University|Indiana State|R|R|0|119|0.244|0.374|0.345|0.719|0.101|
|Jack Lausch|Lausch|Jack|CF|Northwestern University|Northwestern|L|R|22|150|0.267|0.345|0.447|0.791|0.18|
|Payton Whitehead|Whitehead|Payton|3B|University of Maine|Maine|R|R|0|160|0.225|0.3|0.4|0.7|0.175|
|Carson Schrack|Schrack|Carson|2B|Southeast Missouri State University|Southeast Missouri State|L|R|0|139|0.252|0.409|0.381|0.79|0.129|
|Patrick Gillen|Gillen|Patrick|3B|UNC Asheville|UNC Asheville|L|R|22|156|0.308|0.364|0.474|0.839|0.167|
|Bino Watters|Watters|Bino|LF|University of Notre Dame|Notre Dame|L|L|19|164|0.317|0.436|0.549|0.984|0.232|
|Harrison Travis|Travis|Harrison|C|Eastern Michigan University|Eastern Michigan|R|R|0|165|0.309|0.373|0.57|0.943|0.261|
|Julian Swift|Swift|Julian|3B|Stephen F. Austin State University|Stephen F. Austin State|R|R|22|174|0.322|0.366|0.425|0.791|0.103|
|Taj Bates|Bates|Taj|3B|Southern University|Southern|R|R|22|176|0.358|0.445|0.625|1.07|0.267|
|Daylon Carleton|Carleton|Daylon|CF|Texas Southern University|Texas Southern|L|L|22|104|0.26|0.435|0.462|0.896|0.202|
|Jake Martinez|Martinez|Jake|CF|University of Texas-Arlington|UT Arlington|R|R|21|182|0.28|0.321|0.341|0.662|0.06|
|Jackson Smith|Smith|Jackson|1B|Texas A\&M-Corpus Christi|Texas A\&M-Corpus Christi|L|R|0|123|0.285|0.401|0.48|0.881|0.195|
|AJ Beltre|Beltre|AJ|3B|University of San Diego|San Diego|R|R|19|144|0.257|0.376|0.382|0.758|0.125|
|Michael Craig|Craig|Michael|1B|Hofstra University|Hofstra|L|L|0|148|0.27|0.327|0.311|0.638|0.041|
|Tim Denet|Denet|Tim|3B|Le Moyne College|Le Moyne|R|R|0|157|0.293|0.437|0.51|0.947|0.217|
|Bear Harrison|Harrison|Bear|C|Texas A\&M University|Texas A\&M|R|R|21|138|0.254|0.417|0.522|0.938|0.268|
|Dante Smith|Smith|Dante|RF|North Dakota State University|North Dakota State|L|R|0|165|0.303|0.383|0.394|0.777|0.091|
|Will Moore|Moore|Will|3B|Indiana University, Bloomington|Indiana|L|R|21|131|0.328|0.514|0.389|0.903|0.061|
|JT Popick|Popick|JT|2B|University of Tennessee at Martin|UT Martin|R|R|22|144|0.25|0.323|0.306|0.629|0.056|
|Keegan Knutson|Knutson|Keegan|2B|University of Missouri|Missouri|R|R|22|146|0.253|0.337|0.363|0.7|0.11|
|Maddux Fleck|Fleck|Maddux|SS|James Madison University|James Madison|S|R|0|136|0.235|0.355|0.294|0.65|0.059|
|Peter Crespo|Crespo|Peter|P|Rider University|Rider|L|L|0|137|0.226|0.4|0.387|0.787|0.161|
|Nick Leehey|Leehey|Nick|2B|UC Davis|UC Davis|R|R|23|155|0.29|0.371|0.432|0.804|0.142|
|Drew Wyers|Wyers|Drew|3B|Bryant University|Bryant|R|R|22|150|0.393|0.521|0.687|1.207|0.293|
|Kade Reinertson|Reinertson|Kade|C|Valparaiso University|Valparaiso|R|R|0|126|0.19|0.322|0.278|0.6|0.087|
|Charlie Saum|Saum|Charlie|C|Stanford University|Stanford|R|R|22|144|0.236|0.345|0.368|0.713|0.132|
|Kennedy Jones|Jones|Kennedy|LF|University of South Carolina|South Carolina|R|R|23|126|0.254|0.367|0.357|0.724|0.103|
|Andrew Wiggins|Wiggins|Andrew|RF|Indiana University, Bloomington|Indiana|L|R|21|134|0.254|0.454|0.41|0.864|0.157|
|Caden Parker|Parker|Caden|RF|Bowling Green State University|Bowling Green|R|R|23|143|0.252|0.394|0.315|0.709|0.063|
|Johnny Luetzow|Luetzow|Johnny|C|Santa Clara University|Santa Clara|R|R|22|146|0.281|0.387|0.356|0.743|0.075|
|Max Ortega|Ortega|Max|C|Cal State Fullerton|CSU Fullerton|R|R|21|149|0.268|0.382|0.436|0.818|0.168|
|Max Bernal|Bernal|Max|1B|Pepperdine University|Pepperdine|L|L|22|135|0.237|0.318|0.296|0.614|0.059|
|Seth Gwynn|Gwynn|Seth|CF|University of California|California|R|R|24|134|0.216|0.315|0.366|0.68|0.149|
|Luke Jenkins|Jenkins|Luke|LF|UNC Greensboro|UNC Greensboro|L|R|22|142|0.261|0.358|0.317|0.674|0.056|
|Brian McClellin|McClellin|Brian|2B|University of the Pacific|Pacific|R|R|24|137|0.197|0.302|0.285|0.587|0.088|
|Jake Williams|Williams|Jake|2B|Yale University|Yale|R|R|25|165|0.321|0.424|0.479|0.902|0.158|
|Tommy Martin|Martin|Tommy|RF|Yale University|Yale|S|R|0|131|0.305|0.503|0.527|1.029|0.221|
|Bryce Ronken|Ronken|Bryce|RF|South Dakota State University|South Dakota State|L|R|0|156|0.314|0.448|0.474|0.923|0.16|
|Jake Bold|Bold|Jake|C|Princeton University|Princeton|R|R|22|146|0.26|0.435|0.479|0.915|0.219|
|Caden Shapiro|Shapiro|Caden|LF|Princeton University|Princeton|L|L|23|161|0.236|0.372|0.385|0.758|0.149|
|Jake Koonin|Koonin|Jake|2B|Princeton University|Princeton|R|R|22|161|0.236|0.385|0.46|0.845|0.224|
|Philip Berstein|Berstein|Philip|RF|University of Richmond|Richmond|L|R|0|154|0.325|0.456|0.448|0.904|0.123|
|Antonio Cordeiro|Cordeiro|Antonio|C|St. Bonaventure University|St. Bonaventure|R|R|20|126|0.238|0.366|0.357|0.723|0.119|
|Benji Ries|Ries|Benji|C|Le Moyne College|Le Moyne|R|R|23|134|0.343|0.5|0.552|1.052|0.209|
|Paul Myro IV|Myro IV|Paul|SS|UNLV|UNLV|S|R|24|113|0.204|0.412|0.31|0.721|0.106|
|Giano Zuccaro|Zuccaro|Giano|LF|Eastern Michigan University|Eastern Michigan|L|L|22|143|0.203|0.368|0.329|0.697|0.126|
|Ben Robichaux|Robichaux|Ben|2B|Southeastern Louisiana University|Southeastern Louisiana|L|R|22|134|0.291|0.41|0.515|0.925|0.224|
|Sean Lane|Lane|Sean|1B|Hofstra University|Hofstra|R|R|0|133|0.233|0.327|0.511|0.838|0.278|
|Michael Burroughs|Burroughs|Michael|LF|Prairie View A\&M University|Prairie View A\&M|R|R|22|133|0.241|0.365|0.361|0.726|0.12|
|Kenneth Jimenez|Jimenez|Kenneth|C|University of Houston|Houston|R|R|24|119|0.227|0.442|0.286|0.728|0.059|
|Jacob Schroeder|Schroeder|Jacob|C|University of Illinois|Illinois|R|R|0|135|0.267|0.389|0.57|0.959|0.304|
|Ben Martin|Martin|Ben|2B|Alcorn State University|Alcorn State|R|R|22|158|0.272|0.354|0.367|0.721|0.095|
|Tyshon Patty|Patty|Tyshon|3B|Jackson State University|Jackson State|R|R|20|123|0.276|0.412|0.382|0.794|0.106|
|Michael Doyle|Doyle|Michael|3B|New Jersey Institute of Technology|NJIT|R|R|22|139|0.266|0.37|0.41|0.78|0.144|
|Sam Canton|Canton|Sam|CF|North Dakota State University|North Dakota State|L|L|0|161|0.286|0.385|0.429|0.814|0.143|
|Brantley Truitt|Truitt|Brantley|2B|UNC Greensboro|UNC Greensboro|L|R|0|154|0.318|0.409|0.442|0.85|0.123|
|TJ Aiken|Aiken|TJ|LF|Old Dominion University|Old Dominion|L|L|0|140|0.207|0.349|0.35|0.699|0.143|
|River Hart|Hart|River|LF|UMass Lowell|UMass Lowell|R|R|0|143|0.231|0.353|0.497|0.849|0.266|
|Brock Mercado|Mercado|Brock|C|UNC Asheville|UNC Asheville|L|R|23|120|0.225|0.342|0.267|0.609|0.042|
|Cooper Thacker|Thacker|Cooper|LF|UC San Diego|UC San Diego|R|R|0|117|0.248|0.362|0.462|0.824|0.214|
|Will Cresswell|Cresswell|Will|C|Washington State University|Washington State|R|R|22|155|0.329|0.404|0.523|0.927|0.194|
|Gavin Terry|Terry|Gavin|LF|University of Arkansas-Pine Bluff|Arkansas-Pine Bluff|L|L|0|164|0.274|0.393|0.372|0.765|0.098|
|Dylan King|King|Dylan|C|University of Central Florida|Central Florida|L|R|23|135|0.326|0.442|0.652|1.094|0.326|
|Tobias Motley|Motley|Tobias|CF|Rice University|Rice|R|R|20|125|0.248|0.299|0.344|0.643|0.096|
|Karson Evans|Evans|Karson|C|University of New Orleans|New Orleans|R|R|22|125|0.208|0.348|0.288|0.636|0.08|
|Dillon Moquin|Moquin|Dillon|RF|Appalachian State University|Appalachian State|L|R|0|147|0.252|0.406|0.347|0.753|0.095|
|Trey Cruz|Cruz|Trey|LF|Texas A\&M-Corpus Christi|Texas A\&M-Corpus Christi|L|R|24|152|0.296|0.349|0.493|0.843|0.197|
|Tony Castonguay|Castonguay|Tony|C|University of Northern Colorado|Northern Colorado|R|R|23|142|0.218|0.301|0.373|0.674|0.155|
|Davis Meche|Meche|Davis|3B|McNeese State University|McNeese State|L|R|24|121|0.281|0.387|0.397|0.784|0.116|
|Nate Voss|Voss|Nate|C|Penn State University|Penn State|R|R|22|140|0.243|0.337|0.493|0.83|0.25|
|Patrick McLellan|McLellan|Patrick|3B|University of Southern Indiana|Southern Indiana|R|R|23|178|0.292|0.369|0.365|0.735|0.073|
|Elgin Bennett|Bennett|Elgin|LF|CSU Bakersfield|CSU Bakersfield|L|L|22|112|0.25|0.348|0.42|0.768|0.17|
|Rory Finn|Finn|Rory|1B|University of Delaware|Delaware|R|R|20|128|0.203|0.358|0.289|0.647|0.086|
|Luke Matthews|Matthews|Luke|SS|Kent State University|Kent State|R|R|21|164|0.354|0.438|0.476|0.913|0.122|
|Guriyandel Salva|Salva|Guriyandel|SS|Manhattan College|Manhattan|L|R|0|144|0.271|0.407|0.319|0.726|0.049|
|Houston Russell|Russell|Houston|C|Purdue University|Purdue|R|R|22|104|0.26|0.43|0.356|0.785|0.096|
|Colin Robson|Robson|Colin|CF|Rice University|Rice|L|R|21|125|0.24|0.345|0.288|0.633|0.048|
|Mo Little|Little|Mo|3B|Southeastern Louisiana University|Southeastern Louisiana|R|R|21|131|0.237|0.358|0.427|0.786|0.191|
|Paulie Goodness|Goodness|Paulie|CF|Le Moyne College|Le Moyne|R|R|0|146|0.281|0.424|0.308|0.732|0.027|
|Julian Jimenez|Jimenez|Julian|CF|University of Maryland Eastern Shore|Maryland Eastern Shore|L|R|22|157|0.236|0.362|0.427|0.788|0.191|
|Collin Husser|Husser|Collin|RF|University of New Orleans|New Orleans|R|R|22|151|0.285|0.365|0.53|0.895|0.245|
