,,Avg. Exit Velo,Barrel%,Whiff%,Chase%,Avg. Exit Velo SD,Barrel% SD,Whiff% SD,Chase% SD,
,,86.2,17.40,22.9,23.1,4.20,7.78,6.51,5.58,
Team,Avg Exit Velocity,Barrel%,Whiff%,Chase%,EV Score,Barrel Score,Whiff% Score,Chase% Score,Offensive Power Rating,Power Rating
Zach Leite,91,25,24.7,24.1,87,84,39,43,63,127
Carson Paetow,91,22.8,32.3,24.6,87,76,7,39,52,104
Armani Raygoza,91,26.5,24.2,28,87,88,42,19,60,120
Tripp Garrish,91,22.5,34.5,20.2,87,74,4,70,57,114
Ben Zeigler-Namoa,91,18.8,25.8,25.7,87,57,33,32,55,111
Seth Dardar,91,35.1,27.2,28.1,87,99,25,18,57,113
Landon Weidner,91,4.5,33.1,21.3,87,5,6,63,46,91
Collin Priest,91,26.6,31,20.2,87,88,11,70,61,122
Tyler Minick,91,25.8,22.2,25.4,87,86,54,34,67,133
Maddox Mihalakis,90.9,29.2,24,26.8,87,94,43,25,62,125
Jacob Lee,90.9,29.1,35.2,27.9,87,93,3,19,49,98
Shai Robinson,90.9,18.6,26.2,16.1,87,56,31,90,66,132
Mason Breidenbach,90.9,19.2,12.5,15.3,87,59,94,92,86,172
Ethan Lizama,90.9,29.8,20.6,36,87,94,64,1,64,128
Jordy Oriach,90.9,25,17,26.7,87,84,82,26,73,145
Christian Butera,90.9,28.4,34.4,27,87,92,4,24,50,100
Eddy Pelc,90.9,26.7,16,16,87,88,86,90,87,175
Kameron Miller,90.8,22.4,26.9,16.5,86,74,27,88,67,134
Marcus Brodil,90.8,15.7,26.2,17.8,86,41,31,83,62,124
Paxton Kling,90.8,26.2,28,19.3,86,87,22,75,65,130
Eric Genther,90.8,22,13.2,18.9,86,72,93,77,85,169
Nate Savoie,90.8,21.1,24.3,29.1,86,68,41,14,56,111
Ryan Porter,90.8,19.7,28.7,30.9,86,62,19,8,47,93
Blake Bevis,90.8,25.8,24.3,25.5,86,86,41,33,62,124
Jordan Jaffe,90.8,29.3,13.8,24.6,86,94,92,39,80,159
Grayson Fitzwater,90.8,22.8,19.6,24.7,86,76,69,39,70,140
Casey Murray Jr.,90.8,16,24.3,30.6,86,43,41,9,51,102
Jack Holman,90.8,26.7,27.9,22.8,86,88,22,52,61,121
Danny Barbero,90.8,20.6,23.4,18.1,86,66,47,82,70,141
Harrison Povey,90.8,27,26.1,33.1,86,89,31,4,54,107
Nathan Humphreys,90.8,29,16.5,22.9,86,93,84,51,80,159
Rayner Heinrich,90.7,16.9,17.3,19.9,86,47,81,72,76,151
Shaun McMillan,90.7,27,32.1,24.8,86,89,8,38,53,107
Jagger Schattle,90.7,14.7,29.1,18.3,86,36,17,81,57,113
Jackson Halter,90.7,15.6,17.7,21.1,86,41,79,64,73,145
Caden Bodine,90.7,19.6,11,22.9,86,61,97,51,78,157
Kishon Frett,90.7,27,31.8,24.6,86,89,9,39,54,108
Jace Rinehart,90.7,17.6,21.2,32.9,86,51,60,4,57,113
Dom Longo,90.7,24.4,15.3,24.1,86,82,88,43,77,154
CJ Willis,90.7,20.4,16.1,16.7,86,65,85,87,83,166
Karson Bowen,90.7,28.7,20.2,21.3,86,93,66,63,76,153
Justin Thomas,90.7,23.1,26.9,17.7,86,77,27,83,66,133
Simon Larranaga,90.6,17,43.2,24.6,85,48,0,39,45,90
Ray Ortiz,90.6,25,23.9,20.6,85,84,44,67,69,138
Ace Reese,90.6,26.8,17.9,27.1,85,89,78,24,71,142
Sawyer Strosnider,90.6,24.1,25.4,31.4,85,81,35,7,54,108
Grant Hussey,90.6,25.4,29.1,31.4,85,85,17,7,49,98
Jalon Mack,90.6,13.3,24,15.5,85,30,43,91,66,131
Casey Borba,90.6,24.6,21.2,16.4,85,82,60,89,78,156
Eric Snow,90.6,20.4,14.3,22,85,65,91,58,78,157
JP Herrholz,90.6,28.7,19.8,20.6,85,93,68,67,78,155
Taylor Gaspar,90.5,32.3,37.8,23.6,85,97,1,46,54,108
Cooper Williams,90.5,17.8,28.9,28.4,85,52,18,17,46,92
Blake Cyr,90.5,20.4,26.1,26.5,85,65,31,27,54,108
Max Knight,90.5,21.4,31.1,23.7,85,70,10,46,52,105
Henry Kaczmar,90.5,22.4,28,23.7,85,74,22,46,56,113
Rintaro Sasaki,90.5,21.5,25.9,25.1,85,70,32,36,57,114
Mack Mitchell,90.5,28,27,17.9,85,91,26,82,68,136
Will Asby,90.5,25.5,18.4,26.2,85,85,76,29,71,142
Mason Wolf,90.5,23.1,17.2,15.9,85,77,81,90,83,167
Cider Canon,90.5,27.1,25.9,24.5,85,89,32,40,61,121
Jimmy Nati,90.5,22.6,27.2,27.4,85,75,25,22,53,106
Cam Suto,90.5,17.5,31.5,28.2,85,51,9,18,44,87
Jacob Schroeder,90.5,22.5,30.2,23.2,85,74,13,49,55,109
Henry Cooke,90.5,19.3,29.3,27.8,85,60,16,20,47,95
Cade Climie,90.4,30.8,26.5,17.8,84,96,29,83,69,138
Cole Johnson,90.4,23.1,23.5,28.6,84,77,46,16,58,116
Matt Ilgenfritz,90.4,20.7,31.6,26.8,84,66,9,25,47,94
Braden Benton,90.4,25,21.7,14.1,84,84,57,95,78,156
Gio Colasante,90.4,24.7,31.2,25.7,84,83,10,32,51,103
Bradley Frye,90.4,24.1,19.2,30.3,84,81,72,10,65,130
Sam Kane,90.4,26.7,24.1,30.8,84,88,43,8,57,114
Nick Barone,90.4,28.3,23.2,28.2,84,92,48,18,61,123
Landen Johnson,90.4,26.9,18.6,21.9,84,89,75,59,77,154
Evan Appelwick,90.4,29.4,21.6,18.4,84,94,58,80,77,154
Dean Ferrara,90.4,25.7,13.8,21.1,84,86,92,64,83,165
Bear Harrison,90.4,26.7,29.9,20.1,84,88,14,70,61,122
Ryan Skjonsby,90.4,22.4,19.3,16.6,84,74,71,88,79,159
Damian Bravo,90.4,26.9,21.6,31,84,89,58,8,62,123
Bobby Atkinson,90.3,22.3,13.1,22.3,84,74,93,56,79,159
Alex Richter,90.3,29.3,24.3,19.3,84,94,41,75,71,142
Roman Martin,90.3,17.2,20.4,17.1,84,49,65,86,73,147
